date;brand_id;phrase_id;shows
2021-06-26;1;16;45
2021-06-26;1;17;5332
2021-06-26;1;18;20366
2021-06-26;1;19;1955
2021-06-26;1;20;124
2021-06-26;1;21;1682
2021-06-26;1;22;192
2021-06-27;0;0;1659
2021-06-27;0;1;62
2021-06-27;0;2;74
2021-06-27;0;3;159
2021-06-27;0;4;4
2021-06-27;0;5;76
2021-06-27;0;6;2
2021-06-27;1;14;472
2021-06-27;1;15;974
2021-06-27;1;16;46
2021-06-27;0;7;10160
2021-06-27;0;8;1859
2021-06-27;0;9;470
2021-06-27;0;10;69
2021-06-27;1;11;1190
2021-06-27;1;12;56
2021-06-27;1;13;118
2021-06-27;1;17;5261
2021-06-27;1;18;20188
2021-06-27;1;19;1960
2021-06-27;1;20;124
2021-06-27;1;21;1667
2021-06-27;1;22;186
2021-06-28;0;0;1666
2021-06-28;0;1;67
2021-06-28;0;2;76
2021-06-28;0;3;163
2021-06-28;0;4;4
2021-06-28;0;5;75
2021-06-28;0;6;2
2021-06-28;0;7;10184
2021-06-28;0;8;1846
2021-06-28;0;9;470
2021-06-28;0;10;74
2021-06-28;1;11;1179
2021-06-28;1;12;54
2021-06-28;1;13;113
2021-06-28;1;14;470
2021-06-28;1;15;981
2021-06-28;1;16;46
2021-06-28;1;17;5199
2021-06-28;1;18;20251
2021-06-28;1;19;2029
2021-06-28;1;20;122
2021-06-28;1;21;1650
2021-06-28;1;22;187
2021-06-29;0;8;1836
2021-06-29;0;9;480
2021-06-29;0;10;76
2021-06-29;0;0;1678
2021-06-29;0;1;66
2021-06-29;0;2;76
2021-06-29;0;3;164
2021-06-29;0;4;4
2021-06-29;0;5;71
2021-06-29;0;6;2
2021-06-29;0;7;10170
2021-06-29;1;11;1155
2021-06-29;1;12;53
2021-06-29;1;13;111
2021-06-29;1;14;469
2021-06-29;1;15;977
2021-06-29;1;16;46
2021-06-29;1;17;5215
2021-06-29;1;18;20343
2021-06-29;1;19;2059
2021-06-29;1;20;122
2021-06-29;1;21;1633
2021-06-29;1;22;183
2021-06-30;0;0;1678
2021-06-30;0;1;66
2021-06-30;0;2;76
2021-06-30;0;3;164
2021-06-30;0;4;4
2021-06-30;0;5;71
2021-06-30;0;6;2
2021-06-30;0;7;10170
2021-06-30;0;8;1836
2021-06-30;0;9;480
2021-06-30;0;10;76
2021-06-30;1;11;1155
2021-06-30;1;12;53
2021-06-30;1;13;111
2021-06-30;1;14;469
2021-06-30;1;15;977
2021-06-30;1;16;46
2021-06-30;1;17;5215
2021-06-30;1;18;20343
2021-06-30;1;19;2059
2021-06-30;1;20;122
2021-06-30;1;21;1633
2021-06-30;1;22;183
2021-07-01;0;0;1697
2021-07-01;0;1;63
2021-07-01;0;2;75
2021-07-01;0;3;158
2021-07-01;0;4;4
2021-07-01;0;5;66
2021-07-01;0;6;3
2021-07-01;0;7;10127
2021-07-01;0;8;1853
2021-07-01;0;9;482
2021-07-01;0;10;80
2021-07-01;1;11;1135
2021-07-01;1;12;55
2021-07-01;1;13;107
2021-07-01;1;14;472
2021-07-01;1;15;962
2021-07-01;1;16;46
